Matrix_size,Operation_type,Operation_time
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
10,naive_multiplication,0.000000
85,naive_multiplication,0.010000
85,naive_multiplication,0.010000
85,naive_multiplication,0.000000
85,naive_multiplication,0.000000
85,naive_multiplication,0.000000
85,naive_multiplication,0.000000
85,naive_multiplication,0.010000
85,naive_multiplication,0.000000
85,naive_multiplication,0.000000
85,naive_multiplication,0.010000
160,naive_multiplication,0.010000
160,naive_multiplication,0.010000
160,naive_multiplication,0.020000
160,naive_multiplication,0.020000
160,naive_multiplication,0.010000
160,naive_multiplication,0.020000
160,naive_multiplication,0.020000
160,naive_multiplication,0.020000
160,naive_multiplication,0.020000
160,naive_multiplication,0.010000
235,naive_multiplication,0.060000
235,naive_multiplication,0.050000
235,naive_multiplication,0.060000
235,naive_multiplication,0.050000
235,naive_multiplication,0.050000
235,naive_multiplication,0.060000
235,naive_multiplication,0.050000
235,naive_multiplication,0.050000
235,naive_multiplication,0.060000
235,naive_multiplication,0.060000
310,naive_multiplication,0.120000
310,naive_multiplication,0.120000
310,naive_multiplication,0.130000
310,naive_multiplication,0.120000
310,naive_multiplication,0.130000
310,naive_multiplication,0.130000
310,naive_multiplication,0.120000
310,naive_multiplication,0.110000
310,naive_multiplication,0.120000
310,naive_multiplication,0.120000
385,naive_multiplication,0.240000
385,naive_multiplication,0.240000
385,naive_multiplication,0.240000
385,naive_multiplication,0.240000
385,naive_multiplication,0.240000
385,naive_multiplication,0.240000
385,naive_multiplication,0.250000
385,naive_multiplication,0.230000
385,naive_multiplication,0.230000
385,naive_multiplication,0.250000
460,naive_multiplication,0.410000
460,naive_multiplication,0.420000
460,naive_multiplication,0.420000
460,naive_multiplication,0.400000
460,naive_multiplication,0.400000
460,naive_multiplication,0.390000
460,naive_multiplication,0.390000
460,naive_multiplication,0.410000
460,naive_multiplication,0.400000
460,naive_multiplication,0.410000
535,naive_multiplication,0.660000
535,naive_multiplication,0.610000
535,naive_multiplication,0.630000
535,naive_multiplication,0.600000
535,naive_multiplication,0.620000
535,naive_multiplication,0.650000
535,naive_multiplication,0.660000
535,naive_multiplication,0.660000
535,naive_multiplication,0.670000
535,naive_multiplication,0.660000
610,naive_multiplication,0.950000
610,naive_multiplication,0.940000
610,naive_multiplication,0.970000
610,naive_multiplication,0.920000
610,naive_multiplication,0.940000
610,naive_multiplication,0.930000
610,naive_multiplication,0.990000
610,naive_multiplication,0.930000
610,naive_multiplication,0.900000
610,naive_multiplication,0.980000
685,naive_multiplication,1.360000
685,naive_multiplication,1.310000
685,naive_multiplication,1.360000
685,naive_multiplication,1.380000
685,naive_multiplication,1.380000
685,naive_multiplication,1.410000
685,naive_multiplication,1.360000
685,naive_multiplication,1.370000
685,naive_multiplication,1.340000
685,naive_multiplication,1.370000
760,naive_multiplication,1.860000
760,naive_multiplication,1.880000
760,naive_multiplication,1.880000
760,naive_multiplication,1.820000
760,naive_multiplication,1.790000
760,naive_multiplication,1.850000
760,naive_multiplication,1.910000
760,naive_multiplication,1.810000
760,naive_multiplication,1.860000
760,naive_multiplication,1.910000
835,naive_multiplication,2.450000
835,naive_multiplication,2.460000
835,naive_multiplication,2.410000
835,naive_multiplication,2.490000
835,naive_multiplication,2.420000
835,naive_multiplication,2.460000
835,naive_multiplication,2.510000
835,naive_multiplication,2.440000
835,naive_multiplication,2.500000
835,naive_multiplication,2.450000
910,naive_multiplication,3.180000
910,naive_multiplication,3.120000
910,naive_multiplication,3.220000
910,naive_multiplication,3.220000
910,naive_multiplication,3.170000
910,naive_multiplication,3.220000
910,naive_multiplication,3.200000
910,naive_multiplication,3.040000
910,naive_multiplication,3.190000
910,naive_multiplication,3.220000
985,naive_multiplication,3.970000
985,naive_multiplication,4.080000
985,naive_multiplication,4.100000
985,naive_multiplication,4.070000
985,naive_multiplication,4.120000
985,naive_multiplication,4.080000
985,naive_multiplication,4.140000
985,naive_multiplication,4.140000
985,naive_multiplication,4.130000
985,naive_multiplication,4.180000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
10,better_multiplication,0.000000
85,better_multiplication,0.000000
85,better_multiplication,0.000000
85,better_multiplication,0.010000
85,better_multiplication,0.000000
85,better_multiplication,0.000000
85,better_multiplication,0.000000
85,better_multiplication,0.000000
85,better_multiplication,0.000000
85,better_multiplication,0.000000
85,better_multiplication,0.000000
160,better_multiplication,0.020000
160,better_multiplication,0.020000
160,better_multiplication,0.020000
160,better_multiplication,0.010000
160,better_multiplication,0.020000
160,better_multiplication,0.010000
160,better_multiplication,0.020000
160,better_multiplication,0.020000
160,better_multiplication,0.010000
160,better_multiplication,0.010000
235,better_multiplication,0.050000
235,better_multiplication,0.050000
235,better_multiplication,0.050000
235,better_multiplication,0.050000
235,better_multiplication,0.040000
235,better_multiplication,0.050000
235,better_multiplication,0.050000
235,better_multiplication,0.060000
235,better_multiplication,0.050000
235,better_multiplication,0.050000
310,better_multiplication,0.120000
310,better_multiplication,0.120000
310,better_multiplication,0.110000
310,better_multiplication,0.120000
310,better_multiplication,0.120000
310,better_multiplication,0.110000
310,better_multiplication,0.120000
310,better_multiplication,0.120000
310,better_multiplication,0.110000
310,better_multiplication,0.130000
385,better_multiplication,0.220000
385,better_multiplication,0.220000
385,better_multiplication,0.220000
385,better_multiplication,0.220000
385,better_multiplication,0.220000
385,better_multiplication,0.220000
385,better_multiplication,0.230000
385,better_multiplication,0.220000
385,better_multiplication,0.230000
385,better_multiplication,0.220000
460,better_multiplication,0.370000
460,better_multiplication,0.370000
460,better_multiplication,0.370000
460,better_multiplication,0.370000
460,better_multiplication,0.400000
460,better_multiplication,0.380000
460,better_multiplication,0.370000
460,better_multiplication,0.370000
460,better_multiplication,0.380000
460,better_multiplication,0.380000
535,better_multiplication,0.590000
535,better_multiplication,0.580000
535,better_multiplication,0.620000
535,better_multiplication,0.610000
535,better_multiplication,0.580000
535,better_multiplication,0.590000
535,better_multiplication,0.610000
535,better_multiplication,0.580000
535,better_multiplication,0.590000
535,better_multiplication,0.610000
610,better_multiplication,0.910000
610,better_multiplication,0.860000
610,better_multiplication,0.920000
610,better_multiplication,0.860000
610,better_multiplication,0.870000
610,better_multiplication,0.870000
610,better_multiplication,0.880000
610,better_multiplication,0.860000
610,better_multiplication,0.870000
610,better_multiplication,0.870000
685,better_multiplication,1.240000
685,better_multiplication,1.290000
685,better_multiplication,1.240000
685,better_multiplication,1.240000
685,better_multiplication,1.250000
685,better_multiplication,1.230000
685,better_multiplication,1.240000
685,better_multiplication,1.230000
685,better_multiplication,1.230000
685,better_multiplication,1.230000
760,better_multiplication,1.700000
760,better_multiplication,1.680000
760,better_multiplication,1.670000
760,better_multiplication,1.710000
760,better_multiplication,1.690000
760,better_multiplication,1.680000
760,better_multiplication,1.680000
760,better_multiplication,1.680000
760,better_multiplication,1.680000
760,better_multiplication,1.680000
835,better_multiplication,2.260000
835,better_multiplication,2.220000
835,better_multiplication,2.220000
835,better_multiplication,2.230000
835,better_multiplication,2.230000
835,better_multiplication,2.260000
835,better_multiplication,2.230000
835,better_multiplication,2.230000
835,better_multiplication,2.320000
835,better_multiplication,2.230000
910,better_multiplication,2.900000
910,better_multiplication,2.980000
910,better_multiplication,2.980000
910,better_multiplication,3.070000
910,better_multiplication,2.940000
910,better_multiplication,3.050000
910,better_multiplication,3.060000
910,better_multiplication,2.920000
910,better_multiplication,2.940000
910,better_multiplication,2.940000
985,better_multiplication,3.690000
985,better_multiplication,3.690000
985,better_multiplication,3.660000
985,better_multiplication,3.770000
985,better_multiplication,3.650000
985,better_multiplication,3.730000
985,better_multiplication,3.680000
985,better_multiplication,3.700000
985,better_multiplication,3.690000
985,better_multiplication,3.710000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
10,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
85,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.010000
160,BLAS_multiplication,0.000000
160,BLAS_multiplication,0.000000
235,BLAS_multiplication,0.010000
235,BLAS_multiplication,0.000000
